,Food Name,Measure,Energy (kcal) per gram,Energy (kJ) per gram,Protein (g) per gram,Carbohydrate (g) per gram,Total Sugar (g) per gram,Total Dietary Fibre (g) per gram,Total Fat (g) per gram,Saturated Fat (g) per gram,Cholesterol (mg) per gram,Calcium (mg) per gram,Iron (mg) per gram,Sodium (mg) per gram,Potassium (mg) per gram,Magnesium (mg) per gram,Phosphorus (mg) per gram,Thiamin (mg) per gram,Riboflavin (mg) per gram,Niacin (NE) per gram,Folate (DFE) per gram,Vitamin A (RAE) per gram,Beta-carotene (mcg) per gram,Lycopene (mcg) per gram,Vitamin C (mg) per gram,Vitamin B12 (mcg) per gram,Total Fat ( ) per gram,Cholesterol (g) per gram,Vitamin D (mcg) per gram,Monounsaturated Fat (g) per gram,Polyunsaturated Fat (g) per gram,Vitamin E (mg) per gram,DHA (g) per gram,EPA (g) per gram,Total Daietary Fibre (g) per gram,Trans Fat (g) per gram,Caffeine (mg) per gram,Alcohol (g) per gram,Polyunsaturated Fat (mg) per gram,Category
0,Chickpea flour,125 mL,3.836734693877551,16.040816326530614,0.22448979591836735,0.5714285714285714,0.10204081632653061,0.10612244897959185,0.061224489795918366,0.006122448979591836,0.0,0.4489795918367347,0.04897959183673469,0.6326530612244898,8.387755102040817,1.653061224489796,3.163265306122449,0.004081632653061225,0.0010204081632653062,0.05918367346938775,4.326530612244898,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
1,"Cornmeal, dry",125 mL,3.6575342465753424,15.287671232876713,0.0821917808219178,0.7808219178082192,0.0136986301369863,0.07397260273972603,0.0136986301369863,0.0027397260273972603,0.0,0.0547945205479452,0.010958904109589041,0.0273972602739726,1.6164383561643836,0.3972602739726027,0.8356164383561644,0.0013698630136986301,0.000547945205479452,0.02602739726027397,0.4794520547945205,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
2,"Oat bran, dry",125 mL,2.44,10.22,0.18,0.66,0.02,0.10400000000000001,0.06,0.013999999999999999,0.0,0.58,0.054000000000000006,0.04,5.62,2.34,7.3,0.012,0.0022,0.064,0.52,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
3,Oat flour,125 mL,3.7735849056603774,15.81132075471698,0.1320754716981132,0.660377358490566,0.018867924528301886,0.09999999999999999,0.07547169811320754,0.01320754716981132,0.0,0.5094339622641509,0.041509433962264156,0.03773584905660377,3.7547169811320753,1.471698113207547,4.264150943396227,0.005660377358490566,0.0015094339622641509,0.033962264150943396,0.2830188679245283,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
4,Potato flour,125 mL,3.552941176470588,14.847058823529412,0.07058823529411765,0.8235294117647058,0.03529411764705882,0.0011764705882352942,,0.0011764705882352942,0.0,0.6470588235294118,0.014117647058823528,0.5411764705882353,9.952941176470588,0.6470588235294118,1.6705882352941177,0.0023529411764705885,0.00047058823529411766,0.05411764705882353,0.24705882352941178,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
5,Rice flour,125 mL,3.674698795180723,15.397590361445783,0.060240963855421686,0.8072289156626506,,0.024096385542168676,0.012048192771084338,0.003614457831325301,0.0,0.0963855421686747,0.003614457831325301,0.0,0.7590361445783133,0.3493975903614458,0.9879518072289156,0.0012048192771084338,0.00024096385542168676,0.03855421686746988,0.03614457831325301,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
6,"Rye flour, light",125 mL,3.6666666666666665,15.314814814814815,0.09259259259259259,0.7962962962962963,0.018518518518518517,0.1462962962962963,0.018518518518518517,0.001851851851851852,0.0,0.2037037037037037,0.018518518518518517,0.018518518518518517,2.3333333333333335,0.7037037037037037,1.9444444444444444,0.003703703703703704,0.000925925925925926,0.024074074074074074,0.2222222222222222,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
7,Soy flour,125 mL,3.2830188679245285,13.754716981132075,0.4716981132075472,0.37735849056603776,0.20754716981132076,0.17358490566037735,0.018867924528301886,0.0018867924528301887,0.0,2.3962264150943398,0.09245283018867925,0.20754716981132076,23.754716981132077,2.8867924528301887,6.716981132075472,0.007547169811320755,0.0024528301886792454,0.13962264150943396,3.0377358490566038,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
8,Wheat bran,15 mL,2.0,8.25,0.25,0.5,,0.4,,,0.0,0.75,0.1,,10.75,5.5,9.25,,0.005,0.175,0.75,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
9,"Wheat flour, all purpose",125 mL,3.6363636363636362,15.227272727272727,0.10606060606060606,0.7575757575757576,,0.030303030303030304,0.015151515151515152,0.0015151515151515152,0.0,0.15151515151515152,0.046969696969696974,0.015151515151515152,1.0757575757575757,0.22727272727272727,1.0757575757575757,0.007575757575757576,0.005,0.0803030303030303,2.909090909090909,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
10,"Wheat flour, bread",125 mL,3.625,15.180555555555555,0.125,0.7222222222222222,,0.02361111111111111,0.013888888888888888,0.002777777777777778,0.0,0.1527777777777778,0.044444444444444446,0.013888888888888888,1.0,0.25,0.9722222222222222,0.008333333333333333,0.005138888888888889,0.09861111111111111,2.888888888888889,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
11,"Wheat flour, cake",125 mL,3.638888888888889,15.222222222222221,0.08333333333333333,0.7777777777777778,,0.016666666666666666,0.013888888888888888,0.001388888888888889,0.0,0.1388888888888889,0.07361111111111111,0.013888888888888888,1.0555555555555556,0.16666666666666666,0.8611111111111112,0.008333333333333333,0.0043055555555555555,0.0875,2.8333333333333335,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
12,"Wheat flour, whole grain",125 mL,3.4126984126984126,14.26984126984127,0.14285714285714285,0.7301587301587301,,0.12222222222222222,0.015873015873015872,0.0031746031746031746,0.0,0.3492063492063492,0.03968253968253968,0.047619047619047616,4.079365079365079,1.380952380952381,3.4761904761904763,0.0047619047619047615,0.0022222222222222222,0.09999999999999999,0.4444444444444444,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
13,"Wheat germ, toasted",15 mL,3.857142857142857,16.285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.15714285714285717,0.14285714285714285,0.014285714285714287,0.0,0.42857142857142855,0.09999999999999999,,9.714285714285714,3.2857142857142856,11.714285714285714,0.014285714285714287,0.008571428571428572,0.1285714285714286,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
14,"Bagel, plain (10 cm diam)",1,2.7464788732394365,11.507042253521126,0.09859154929577464,0.5352112676056338,0.056338028169014086,0.022535211267605635,0.014084507042253521,0.0028169014084507044,0.0,0.7464788732394366,0.035211267605633804,5.338028169014085,1.0140845070422535,0.29577464788732394,0.9577464788732394,0.005633802816901409,0.0030985915492957746,0.06619718309859156,1.647887323943662,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
15,Bannock,1 medium,2.27027027027027,9.54054054054054,0.05405405405405406,0.5135135135135135,,0.013513513513513514,,0.0,0.02702702702702703,2.27027027027027,0.018918918918918916,,,,1.6216216216216217,0.002702702702702703,0.0016216216216216215,0.03783783783783783,,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
16,"Bread, French or Vienna",1 slice,2.742857142857143,11.457142857142857,0.08571428571428572,0.5142857142857142,,0.03142857142857143,0.02857142857142857,0.005714285714285714,0.0,0.7428571428571429,0.025714285714285714,6.085714285714285,1.1428571428571428,0.2571428571428571,1.0571428571428572,0.005714285714285714,0.0034285714285714284,0.06571428571428571,2.2857142857142856,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
17,"Bread, Italian",1 slice,2.7142857142857144,11.342857142857143,0.08571428571428572,0.5142857142857142,,0.025714285714285714,0.02857142857142857,0.008571428571428572,0.0,0.7714285714285715,0.02857142857142857,5.828571428571428,1.1142857142857143,0.2571428571428571,1.0285714285714285,0.005714285714285714,0.002857142857142857,0.060000000000000005,3.0285714285714285,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
18,"Bread, mixed-grain",1 slice,2.5142857142857142,10.457142857142857,0.11428571428571428,0.45714285714285713,0.11428571428571428,0.06285714285714286,0.02857142857142857,0.008571428571428572,0.0,0.9142857142857143,0.03428571428571429,4.857142857142857,2.0285714285714285,0.5428571428571428,1.7714285714285714,0.002857142857142857,0.0034285714285714284,0.06571428571428571,1.6571428571428573,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
19,"Bread, naan",1/2,3.0476190476190474,12.746031746031745,0.1111111111111111,0.5714285714285714,0.031746031746031744,0.02222222222222222,0.031746031746031744,0.012698412698412698,0.047619047619047616,1.2380952380952381,0.0365079365079365,3.3015873015873014,1.8253968253968254,0.25396825396825395,1.4126984126984128,0.0047619047619047615,0.005238095238095239,0.08888888888888888,1.8253968253968254,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
20,"Bread, oatmeal",1 slice,2.6857142857142855,11.257142857142858,0.08571428571428572,0.4857142857142857,0.08571428571428572,0.04,0.05714285714285714,0.005714285714285714,0.0,0.6571428571428571,0.025714285714285714,6.0,1.4285714285714286,0.37142857142857144,1.2571428571428571,0.002857142857142857,0.002285714285714286,0.05142857142857143,0.8571428571428571,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
21,"Bread, pita, white (17 cm diam)",1,2.75,11.5,0.08333333333333333,0.55,0.016666666666666666,0.021666666666666667,0.016666666666666666,0.0016666666666666668,0.0,0.8666666666666667,0.02666666666666667,5.366666666666666,1.2,0.26666666666666666,0.9666666666666667,0.006666666666666667,0.0033333333333333335,0.06333333333333332,1.65,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
22,"Bread, pita, whole wheat (17 cm diam)",1,2.65625,11.125,0.09375,0.546875,0.015625,0.0734375,0.03125,0.0046875,0.0,0.15625,0.03125,5.3125,1.703125,0.6875,1.796875,0.003125,0.00078125,0.053125,0.34375,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
23,"Bread, pumpernickel",1 slice,2.5142857142857142,10.457142857142857,0.08571428571428572,0.4857142857142857,,0.06571428571428571,0.02857142857142857,0.005714285714285714,0.0,0.6857142857142857,0.02857142857142857,6.714285714285714,2.085714285714286,0.5428571428571428,1.7714285714285714,0.002857142857142857,0.003142857142857143,0.045714285714285714,1.3428571428571427,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
24,"Bread, raisin",1 slice,2.742857142857143,11.457142857142857,0.08571428571428572,0.5142857142857142,0.05714285714285714,0.04285714285714286,0.05714285714285714,0.011428571428571429,0.0,0.6571428571428571,0.02857142857142857,3.914285714285714,2.257142857142857,0.2571428571428571,1.0857142857142856,0.002857142857142857,0.004,0.04857142857142857,1.5714285714285714,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
25,"Bread, rye",1 slice,2.6,10.82857142857143,0.08571428571428572,0.4857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.005714285714285714,0.0,0.7428571428571429,0.02857142857142857,6.6,1.6571428571428573,0.4,1.2571428571428571,0.005714285714285714,0.0034285714285714284,0.054285714285714284,1.5142857142857142,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
26,"Bread, white, Calorie-reduced",1 slice,2.057142857142857,8.657142857142857,0.08571428571428572,0.45714285714285713,0.05714285714285714,0.09714285714285714,0.02857142857142857,0.005714285714285714,0.0,0.9428571428571428,0.03142857142857143,4.542857142857143,0.7714285714285715,0.22857142857142856,1.2,0.002857142857142857,0.002857142857142857,0.054285714285714284,1.3714285714285714,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
27,"Bread, white, commercial",1 slice,2.657142857142857,11.114285714285714,0.08571428571428572,0.5142857142857142,0.05714285714285714,0.022857142857142857,0.02857142857142857,0.008571428571428572,0.0,1.5142857142857142,0.037142857142857144,6.8,1.0,0.22857142857142856,1.0,0.005714285714285714,0.0034285714285714284,0.060000000000000005,1.7142857142857142,,,,,,,,,,,,,,,,,,,"Breads, Cereals and Other Grain Products"
